goos: linux
goarch: amd64
pkg: github.com/ice-blockchain/subzero/database/query
cpu: AMD Ryzen 9 PRO 7940HS w/ Radeon 780M Graphics 
BenchmarkSelectByKind
    query_where_builder_bench_test.go:49: loading test data from ".testdata/testdb_3M.sqlite3"
    query_where_builder_bench_test.go:51: loaded 1000 event(s)
BenchmarkSelectByKind-16                              	      20	  15119537 ns/op	       294.0 avg-ms/op	       296.0 p50-ms/op	       301.0 p95-ms/op	         5.000 stddev-ms/op	         1.000 stmt-cache-size	 9390634 B/op	  125895 allocs/op
BenchmarkSelectByKind-16                              	      20	  13016313 ns/op	       252.0 avg-ms/op	       253.0 p50-ms/op	       259.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9351802 B/op	  124851 allocs/op
BenchmarkSelectByKind-16                              	      20	  12965406 ns/op	       248.0 avg-ms/op	       249.0 p50-ms/op	       258.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9368277 B/op	  125117 allocs/op
BenchmarkSelectByKind-16                              	      20	  13023942 ns/op	       252.0 avg-ms/op	       253.0 p50-ms/op	       258.0 p95-ms/op	         5.000 stddev-ms/op	         1.000 stmt-cache-size	 9353468 B/op	  125095 allocs/op
BenchmarkSelectByKind-16                              	      20	  12889547 ns/op	       248.0 avg-ms/op	       250.0 p50-ms/op	       257.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9358893 B/op	  124595 allocs/op
BenchmarkSelectByKind-16                              	      20	  12919639 ns/op	       247.0 avg-ms/op	       249.0 p50-ms/op	       256.0 p95-ms/op	         7.000 stddev-ms/op	         1.000 stmt-cache-size	 9358937 B/op	  125111 allocs/op
BenchmarkSelectByKind-16                              	      20	  12875576 ns/op	       245.0 avg-ms/op	       247.0 p50-ms/op	       256.0 p95-ms/op	         7.000 stddev-ms/op	         1.000 stmt-cache-size	 9359830 B/op	  124350 allocs/op
BenchmarkSelectByKind-16                              	      20	  12928476 ns/op	       249.0 avg-ms/op	       250.0 p50-ms/op	       257.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9355218 B/op	  124592 allocs/op
BenchmarkSelectByKind-16                              	      20	  12935368 ns/op	       247.0 avg-ms/op	       250.0 p50-ms/op	       258.0 p95-ms/op	         9.000 stddev-ms/op	         1.000 stmt-cache-size	 9355764 B/op	  124844 allocs/op
BenchmarkSelectByKind-16                              	      20	  13576669 ns/op	       262.0 avg-ms/op	       263.0 p50-ms/op	       270.0 p95-ms/op	         5.000 stddev-ms/op	         1.000 stmt-cache-size	 9357301 B/op	  125103 allocs/op
BenchmarkSelectByKind-16                              	      20	  13823362 ns/op	       266.0 avg-ms/op	       268.0 p50-ms/op	       274.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9358867 B/op	  125606 allocs/op
BenchmarkSelectByKind-16                              	      20	  13454994 ns/op	       258.0 avg-ms/op	       256.0 p50-ms/op	       266.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9357511 B/op	  124848 allocs/op
BenchmarkSelectByKind-16                              	      20	  12994809 ns/op	       249.0 avg-ms/op	       251.0 p50-ms/op	       257.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9353322 B/op	  125604 allocs/op
BenchmarkSelectByKind-16                              	      20	  13058936 ns/op	       252.0 avg-ms/op	       253.0 p50-ms/op	       260.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9357227 B/op	  125097 allocs/op
BenchmarkSelectByKind-16                              	      20	  12886377 ns/op	       248.0 avg-ms/op	       250.0 p50-ms/op	       256.0 p95-ms/op	         7.000 stddev-ms/op	         1.000 stmt-cache-size	 9359731 B/op	  125097 allocs/op
BenchmarkSelectByKind-16                              	      20	  12789190 ns/op	       241.0 avg-ms/op	       244.0 p50-ms/op	       252.0 p95-ms/op	         9.000 stddev-ms/op	         1.000 stmt-cache-size	 9357237 B/op	  125342 allocs/op
BenchmarkSelectByKind-16                              	      20	  12854804 ns/op	       246.0 avg-ms/op	       247.0 p50-ms/op	       253.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9361031 B/op	  124601 allocs/op
BenchmarkSelectByKind-16                              	      20	  13019042 ns/op	       250.0 avg-ms/op	       253.0 p50-ms/op	       257.0 p95-ms/op	         6.000 stddev-ms/op	         1.000 stmt-cache-size	 9356311 B/op	  124342 allocs/op
BenchmarkSelectByKind-16                              	      20	  12823130 ns/op	       247.0 avg-ms/op	       249.0 p50-ms/op	       255.0 p95-ms/op	         5.000 stddev-ms/op	         1.000 stmt-cache-size	 9365980 B/op	  125839 allocs/op
BenchmarkSelectByKind-16                              	      20	  13232210 ns/op	       253.0 avg-ms/op	       253.0 p50-ms/op	       261.0 p95-ms/op	         4.000 stddev-ms/op	         1.000 stmt-cache-size	 9363722 B/op	  125860 allocs/op
BenchmarkSelectByID
BenchmarkSelectByID-16                                	      20	    120126 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   14969 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	     96228 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15151 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    105269 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15022 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    113099 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   17187 B/op	     307 allocs/op
